,Xenon energy,Xenon Xsection
0,0.0,131.0
1,0.0010000000474974513,115.0
2,0.004999999888241291,97.0
3,0.007000000216066837,91.0999984741211
4,0.009999999776482582,83.9000015258789
5,0.014999999664723873,74.5999984741211
6,0.019999999552965164,67.30000305175781
7,0.02500000037252903,61.20000076293945
8,0.029999999329447746,56.099998474121094
9,0.03999999910593033,47.900001525878906
10,0.05000000074505806,41.400001525878906
11,0.05999999865889549,36.20000076293945
12,0.07000000029802322,31.799999237060547
13,0.07999999821186066,28.200000762939453
14,0.10000000149011612,22.5
15,0.11999999731779099,18.100000381469727
16,0.14000000059604645,14.800000190734863
17,0.17000000178813934,11.100000381469727
18,0.20000000298023224,8.359999656677246
19,0.25,5.329999923706055
20,0.27000001072883606,4.46999979019165
21,0.30000001192092896,3.430000066757202
22,0.3199999928474426,2.880000114440918
23,0.3499999940395355,2.2200000286102295
24,0.3700000047683716,1.8600000143051147
25,0.4000000059604645,1.4299999475479126
26,0.41999998688697815,1.2000000476837158
27,0.4399999976158142,1.0099999904632568
28,0.46000000834465027,0.843999981880188
29,0.47999998927116394,0.7080000042915344
30,0.5,0.5960000157356262
31,0.5099999904632568,0.5479999780654907
32,0.5199999809265137,0.5040000081062317
33,0.5299999713897705,0.4650000035762787
34,0.5400000214576721,0.4300000071525574
35,0.550000011920929,0.39899998903274536
36,0.5600000023841858,0.3720000088214874
37,0.5699999928474426,0.3479999899864197
38,0.5799999833106995,0.328000009059906
39,0.5899999737739563,0.3100000023841858
40,0.6000000238418579,0.29600000381469727
41,0.6100000143051147,0.2849999964237213
42,0.6200000047683716,0.2759999930858612
43,0.6299999952316284,0.27000001072883606
44,0.6399999856948853,0.26600000262260437
45,0.6499999761581421,0.26499998569488525
46,0.6600000262260437,0.26600000262260437
47,0.6700000166893005,0.27000001072883606
48,0.6800000071525574,0.2759999930858612
49,0.6899999976158142,0.28700000047683716
50,0.699999988079071,0.3059999942779541
51,0.7149999737739563,0.3409999907016754
52,0.7300000190734863,0.37700000405311584
53,0.75,0.4269999861717224
54,0.7699999809265137,0.4790000021457672
55,0.800000011920929,0.5619999766349792
56,0.8299999833106995,0.6510000228881836
57,0.8500000238418579,0.7129999995231628
58,0.8700000047683716,0.777999997138977
59,0.8999999761581421,0.8799999952316284
60,1.0,1.2599999904632568
61,1.0800000429153442,1.6200000047683716
62,1.1399999856948853,1.9199999570846558
63,1.2000000476837158,2.25
64,1.2999999523162842,2.8499999046325684
65,1.399999976158142,3.509999990463257
66,1.5,4.21999979019165
67,1.7000000476837158,5.730000019073486
68,2.0,7.96999979019165
69,2.5,11.800000190734863
70,3.0,15.800000190734863
71,3.5,20.399999618530273
72,4.0,24.399999618530273
73,4.5,28.0
74,5.0,30.700000762939453
75,5.5,31.5
76,6.0,32.29999923706055
77,6.5,31.600000381469727
78,7.0,31.0
79,8.0,27.799999237060547
80,9.0,23.5
81,10.0,19.799999237060547
82,12.0,15.0
83,15.0,10.899999618530273
84,18.0,8.399999618530273
85,20.0,7.25
86,25.0,5.650000095367432
87,30.0,5.0
88,40.0,4.5
89,50.0,3.0999999046325684
90,60.0,2.4200000762939453
91,70.0,2.1700000762939453
92,80.0,2.0
93,90.0,1.8899999856948853
94,100.0,1.7999999523162842
95,125.0,1.7300000190734863
96,150.0,1.649999976158142
97,200.0,1.5
98,250.0,1.3899999856948853
99,300.0,1.2599999904632568
100,400.0,1.090000033378601
101,500.0,0.9399999976158142
102,600.0,0.8399999737739563
103,700.0,0.75
104,800.0,0.6800000071525574
105,1000.0,0.5600000023841858
106,1500.0,0.3799999952316284
107,2000.0,0.25999999046325684
108,3000.0,0.1550000011920929
109,4000.0,0.10499999672174454
110,5000.0,0.07599999755620956
111,6000.0,0.05900000035762787
112,8000.0,0.03799999877810478
113,10000.0,0.027000000700354576
114,15000.0,0.014800000004470348
115,20000.0,0.009399999864399433
116,30000.0,0.004999999888241291
117,40000.0,0.003100000089034438
118,50000.0,0.002199999988079071
119,60000.0,0.0016299999551847577
120,80000.0,0.0010239999974146485
121,100000.0,0.0007140000234358013
122,125000.0,0.0004980000085197389
123,150000.0,0.00037200000951997936
124,175000.0,0.000291000003926456
125,200000.0,0.00023600000713486224
126,250000.0,0.00016599999798927456
127,300000.0,0.0001250000059371814
128,350000.0,9.9e-05
129,400000.0,8.08e-05
130,450000.0,6.76e-05
131,500000.0,5.77e-05
132,600000.0,4.38e-05
133,700000.0,3.48e-05
134,800000.0,2.85e-05
135,900000.0,2.39e-05
136,1000000.0,2.04e-05
137,1250000.0,1.43e-05
138,1500000.0,1.08e-05
139,1750000.0,8.52e-06
140,2000000.0,6.91e-06
141,2500000.0,4.85e-06
142,3000000.0,3.62e-06
143,3500000.0,2.81e-06
144,4000000.0,2.25e-06
145,4500000.0,1.85e-06
146,5000000.0,1.55e-06
147,6000000.0,1.13e-06
148,7000000.0,8.67e-07
149,8000000.0,6.86e-07
150,9000000.0,5.58e-07
151,10000000.0,4.63e-07
152,12500000.0,3.1e-07
153,15000000.0,2.23e-07
154,17500000.0,1.68e-07
155,20000000.0,1.31e-07
156,25000000.0,8.64e-08
157,30000000.0,6.11e-08
158,35000000.0,4.54e-08
159,40000000.0,3.51e-08
160,45000000.0,2.78e-08
161,50000000.0,2.26e-08
162,60000000.0,1.57e-08
163,70000000.0,1.15e-08
164,80000000.0,8.79e-09
165,90000000.0,6.93e-09
166,100000000.0,5.6e-09
167,125000000.0,3.57e-09
168,150000000.0,2.47e-09
169,175000000.0,1.81e-09
170,200000000.0,1.38e-09
